Data S2 Results of temperature reconstruction and diagnostics,,,,,,,,,,,,,,,,
Year (C.E.),Temperature reconstruction (?),Error  (?),,Year (C.E.),Nearest modern analogue,5% pencentile,,Year (C.E.),Goodness-of-fit,90% pencentile,,Year (C.E.),Rare taxa (%),,Year (C.E.),Not present taxa (%)
493,12.26234,0.50887,,493,27.25692,30.22114,,493,3.4278,6.5933,,493,1.70648,,493,0
475,11.23736,0.47203,,475,32.74234,30.22114,,475,3.6861,6.5933,,475,7.42857,,475,1.14286
457,12.79697,0.56068,,457,30.83706,30.22114,,457,6.1,6.5933,,457,5.34759,,457,0
447,11.33616,0.39868,,447,28.6452,30.22114,,447,2.912,6.5933,,447,1.37457,,447,2.4055
419,13.74063,0.48806,,419,26.51209,30.22114,,419,3.7424,6.5933,,419,1.69492,,419,0
382,13.07495,0.50713,,382,32.32085,30.22114,,382,5.7041,6.5933,,382,3.97727,,382,0
343,12.2944,0.51552,,343,26.05207,30.22114,,343,3.7525,6.5933,,343,0.83333,,343,0
293,12.91844,0.4843,,293,26.95009,30.22114,,293,2.7554,6.5933,,293,2.89855,,293,0
251,12.31963,0.57607,,251,32.00776,30.22114,,251,5.5831,6.5933,,251,0,,251,0
208,12.67234,0.52313,,208,24.27192,30.22114,,208,4.426,6.5933,,208,0,,208,0
176,12.44067,0.50446,,176,28.89643,30.22114,,176,3.4466,6.5933,,176,0,,176,0
153,11.8527,0.41211,,153,26.44049,30.22114,,153,4.4526,6.5933,,153,0,,153,0
131,13.15653,0.55517,,131,30.79898,30.22114,,131,4.9752,6.5933,,131,0,,131,0
86,13.28648,0.50304,,86,31.45998,30.22114,,86,6.4041,6.5933,,86,1.21951,,86,0
63,13.26132,0.50465,,63,30.96104,30.22114,,63,4.1026,6.5933,,63,0,,63,0
39,13.15906,0.50321,,39,35.067,30.22114,,39,5.2241,6.5933,,39,1.94805,,39,0
-8,12.5886,0.58426,,-8,33.25302,30.22114,,-8,5.5331,6.5933,,-8,0,,-8,0
-56,12.84182,0.53917,,-56,34.43956,30.22114,,-56,6.0678,6.5933,,-56,2.72109,,-56,0
-81,11.61949,0.45055,,-81,33.36018,30.22114,,-81,4.6134,6.5933,,-81,3.26087,,-81,3.07971
-106,11.98449,0.44478,,-106,35.56091,30.22114,,-106,4.5063,6.5933,,-106,8.18966,,-106,2.58621
-118,12.74533,0.45024,,-118,32.91537,30.22114,,-118,4.8421,6.5933,,-118,0,,-118,0.78125
-131,11.24433,0.5231,,-131,28.08384,30.22114,,-131,3.9704,6.5933,,-131,0,,-131,0
-169,9.78887,0.65835,,-169,27.65555,30.22114,,-169,5.919,6.5933,,-169,0,,-169,0
-195,11.38669,0.541,,-195,33.03866,30.22114,,-195,4.4878,6.5933,,-195,5.4878,,-195,0
-234,11.77888,0.64431,,-234,25.75803,30.22114,,-234,4.326,6.5933,,-234,0,,-234,0
-315,13.9487,0.47237,,-315,27.64338,30.22114,,-315,2.8813,6.5933,,-315,0,,-315,0
-369,12.33035,0.45249,,-369,27.74438,30.22114,,-369,3.963,6.5933,,-369,2.73973,,-369,1.36986
-397,11.74381,0.5721,,-397,23.97416,30.22114,,-397,3.9569,6.5933,,-397,0,,-397,0
-453,11.86474,0.43685,,-453,32.64779,30.22114,,-453,4.2525,6.5933,,-453,0,,-453,1.47783
